コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
2411,2021/03,74.8,7251000000,-290000000,-,-,0.0,0.0
2412,2021/03,54.9,37841000000,9774000000,30,58.93,0.0,10.0
2413,2021/03,73.2,169198000000,57972000000,12,15.25,8.0,10.0
2415,2021/03,28.8,85811424000,2702667000,26.5,12.09,0.0,0.0
2418,2020/12,26.3,27114000000,-11476000000,-,-,0.0,0.0
2424,2021/07,21.3,9343000000,327000000,-,0.24,0.0,0.0
2425,2021/03,57.7,8686688000,304877000,8.5,13.92,1.0,10.0
2427,2020/12,20.8,366711000000,14337000000,10,90.82,0.0,0.0
2428,2021/06,33.4,8842004000,567519000,15.47,62.77,0.0,0.0
2429,2020/12,36.1,143571000000,6251000000,101.7,15,1.0,1.0
2432,2021/03,68.4,136971000000,22495000000,32,9.82,0.0,1.0
2433,2021/03,35.1,714560000000,45033000000,30,42.3,8.0,10.0
2435,2021/03,8.2,15613000000,809000000,6,11.63,1.0,1.0
2436,2020/12,59.2,4990000000,156502000,12,332.97,3.0,7.0
2437,2021/05,55,2813145000,211998000,-,0.19,0.0,0.0
2438,2021/04,90.1,5773644000,277458000,7,74.68,0.0,0.0
2440,2021/03,68.5,16181206000,-7423750000,-,-,0.0,1.0
2445,2021/03,32.3,38812000000,1586458000,14,76.08,1.0,4.0
2449,2021/08,71.4,8211000000,312000000,40,114.18,10.0,10.0
2453,2020/09,35.8,12057491000,1367847000,16,50.45,6.0,6.0
2454,2021/03,57.6,17283200000,909828000,7,7.88,1.0,1.0
2461,2020/12,77.7,29379998000,2852927000,19,72.28,0.0,10.0
2462,2021/05,31.7,54274116000,3610293000,50,16.93,1.0,1.0
2464,2021/03,53.4,5888994000,200498000,11,152.02,0.0,9.0
2468,2021/03,63.3,1833733000,-186780000,-,-,0.0,0.0
2469,2021/03,21.5,30523479000,-4073950000,10,-,0.0,3.0
2471,2020/11,39.4,21009000000,2228000000,3.3,10,1.0,1.0
2475,2021/03,71.2,44126189000,5109387000,37.5,18.35,5.0,5.0
2477,2021/06,93.4,1610382000,1144273000,27,23.06,6.0,6.0
2479,2021/03,45,2771844000,-56260000,1,20.67,0.0,10.0
2480,2021/03,82.5,1136005000,436678000,30,25.24,2.0,9.0
2481,2021/06,88,2942872000,243274000,14,34.26,0.0,10.0
2483,2021/03,71.8,9910877000,418159000,20,118.59,6.0,10.0
2484,2021/08,34.5,29008000000,-17991000000,-,-,0.0,0.0
2485,2020/09,66.3,11919000000,595000000,20,103.77,4.0,6.0
2487,2021/03,71.4,11620755000,551961000,26,29.08,0.0,0.0
2488,2021/03,60.8,6310435000,351260000,21,47.57,1.0,3.0
2489,2021/03,46.3,49020592000,1626092000,8.42,7.31,0.0,0.0
2491,2020/12,65.3,29171000000,6218082000,41,26.49,4.0,4.0
2492,2020/12,86.8,8777359000,1471528000,3.71,83.72,0.0,1.0
2493,2020/11,74.9,5653207000,265018000,5,18.92,0.0,6.0
2497,2021/03,75.6,16338529000,5606568000,34,10.19,0.0,0.0
2498,2020/09,25.2,62880920000,2707011000,42.5,14.29,7.0,10.0
2499,2020/12,35.1,4550407000,160044000,7,86.46,0.0,0.0
2501,2020/12,24.3,434723000000,-15938000000,42,-,0.0,10.0
2502,2020/12,34.2,2027762000000,135167000000,106,49.84,10.0,10.0
2503,2020/12,34.1,1849545000000,102919000000,65,76.91,5.0,10.0
2531,2021/03,51.1,278443000000,21595000000,21,37.39,6.0,6.0
2533,2020/12,38.7,77712000000,2221000000,7,37.05,0.0,10.0
2540,2021/03,86.8,10383596000,648372000,40,68.4,0.0,10.0
2573,2020/12,84.5,51443000000,848000000,60,52.21,0.0,10.0
2579,2020/12,53.4,791956000000,-11722000000,25,-,0.0,0.0
2587,2020/12,49.7,1178137000000,96177000000,78,46.16,0.0,7.0
2588,2021/03,17,56339000000,4394000000,-,-,0.0,6.0
2590,2021/01,51.8,158227000000,5602000000,60,30.37,0.0,11.0
2593,2021/04,45.6,446281000000,16675000000,40,73.88,0.0,10.0
2594,2021/03,67.8,52602000000,-2470000000,5,-,1.0,8.0
2597,2020/12,40.6,14609726000,-315421000,8,-,0.0,10.0
2599,2021/03,28.9,12378810000,-750944000,27,-,0.0,7.0
2602,2021/03,49.8,336306000000,12324000000,80,28.92,0.0,10.0
2607,2021/03,44.6,364779000000,17911000000,52,42.95,8.0,10.0
2612,2021/03,80.1,31371000000,3021000000,85,48.22,0.0,0.0
2613,2021/03,60.1,164816000000,6687000000,50,31.73,1.0,10.0
2651,2021/02,19.6,666001000000,40876000000,150,172.74,0.0,1.0
2652,2020/09,47,9017937000,257274000,1,4.76,0.0,10.0
2653,2021/02,23.6,330095000000,3139000000,15,17.12,1.0,6.0
2654,2021/03,69,18849203000,661085000,10,34.01,0.0,10.0
2659,2021/02,73.3,189116000000,9149000000,55,27.89,11.0,11.0
2664,2021/03,51.9,284492000000,10560000000,50,14.11,0.0,10.0
2666,2021/03,41.7,7063933000,118249000,2,20.3,0.0,10.0
2668,2021/02,51.4,11505830000,-1082692000,20,-,0.0,0.0
2669,2021/02,77,75529652000,465649000,7,165.91,0.0,0.0
2670,2021/02,87.3,220267000000,19513000000,170,72.98,0.0,11.0
2674,2021/03,71.8,21270193000,795586000,35,154.96,0.0,7.0
2675,2020/12,-44.4,19696056000,-6079275000,-,-,0.0,0.0
